name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"lagos,nigeria",28 10 2020,32.1,24.6,27.5,39.3,24.6,30.5,25,87.2,2.8,100,4.17,rain,0,0,31.7,18.4,238.2,1010.9,67.5,9.5,210.8,18.3,8,,2020-10-28T06:32:50,2020-10-28T18:27:25,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",29 10 2020,31.2,24.8,27.6,39.1,24.8,31,25,85.8,0.7,100,8.33,rain,0,0,22.3,14.8,207.4,1011.6,60.6,9.7,189.6,16.3,7,,2020-10-29T06:32:56,2020-10-29T18:27:12,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,DNMM,remote,65201099999"
"lagos,nigeria",30 10 2020,31.9,24,27.3,38.4,24,30.3,24.3,84.3,5,100,4.17,rain,0,0,23,17.4,220.2,1011.7,56.3,8.8,190.2,16.3,6,,2020-10-30T06:33:02,2020-10-30T18:27:00,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",31 10 2020,32.2,24.9,28.2,41.1,24.9,31.9,25.1,84.3,0.1,100,4.17,rain,0,0,28.8,14.8,218.4,1011.4,55.8,9.9,201.2,17.4,7,,2020-10-31T06:33:08,2020-10-31T18:26:49,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",1 11 2020,33,25,28,42.1,25,32.2,25.4,86.7,1.1,100,25,rain,0,0,28.4,22.3,226.6,1010.4,61.6,10.5,214.2,18.5,8,,2020-11-01T06:33:16,2020-11-01T18:26:38,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65210099999,VRJU8,65213099999,DNMM,remote,65201099999"
"lagos,nigeria",2 11 2020,32,25.3,27.7,40.6,25.3,31.2,25,85.4,1.4,100,25,rain,0,0,25.2,14.4,229.6,1011,84.9,11.5,159.2,13.5,6,,2020-11-02T06:33:24,2020-11-02T18:26:29,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",3 11 2020,33,24.2,28.3,40.6,24.2,31.8,24.4,81.2,0,0,0,,0,0,27.7,18.6,244.7,1011.6,65.3,10.7,226,19.6,8,,2020-11-03T06:33:33,2020-11-03T18:26:20,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",4 11 2020,31,25,27.3,37.7,25,30.2,25.1,87.9,0.6,100,8.33,rain,0,0,26.3,14.8,217.8,1012.2,64.3,7.5,159.2,13.7,6,,2020-11-04T06:33:42,2020-11-04T18:26:12,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",5 11 2020,29.7,24.9,27.3,37,24.9,31,25.5,90.3,2.7,100,12.5,rain,0,0,24.1,14.8,217.9,1011.2,72.2,8,187.7,16.1,7,,2020-11-05T06:33:53,2020-11-05T18:26:05,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",6 11 2020,35,26.7,28.9,42.1,26.7,33.4,24.9,81.3,1.5,100,37.5,rain,0,0,30.6,16.6,234.9,1011.7,62.6,11.2,223.4,19.3,8,,2020-11-06T06:34:04,2020-11-06T18:26:00,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
